Tipo,Status,Data efetiva,Valor efetivo,Descrição,Categoria,Conta,Contato,CPF/CNPJ,Razão social,Forma,Observações,Data de criação
Despesa,Pago,01/01/2024,1793.12,Combustível E Lubrificantes,Operacional,2.1.1.7,Posto,12345678915,Posto XYZ,Cartão,Combustível,01/01/2024
Despesa,Pago,01/01/2024,7331.65,Peças - Veículos,Operacional,2.1.2.1,Autopeças,12345678916,Autopeças ABC,Transferência,Peças veículos,01/01/2024
Despesa,Pago,01/01/2024,6135.00,Rastreador Veicular,Operacional,2.1.2.8,Rastreamento,12345678917,Rastreamento SA,Débito,Rastreadores,01/01/2024
Despesa,Pago,01/01/2024,534.61,Simples Nacional (DAS),Administrativo,2.1.3.2,Receita Federal,12345678918,União,DARF,Imposto,01/01/2024
Despesa,Pago,01/01/2024,344.59,DIFAL,Administrativo,2.1.3.3,Receita Estadual,12345678919,Estado,DARF,DIFAL,01/01/2024
Despesa,Pago,01/01/2024,786.99,FGTS,Pessoal,2.2.2.1,CEF,12345678920,Caixa Econômica,Débito,FGTS funcionários,01/01/2024
Despesa,Pago,01/01/2024,642.06,INSS / IRRF s/ Salários,Pessoal,2.2.2.1,Receita Federal,12345678921,União,DARF,INSS salários,01/01/2024
Despesa,Pago,01/01/2024,4942.04,Salário ADM,Pessoal,2.2.3.1,Funcionário ADM,12345678922,Admin A,PIX,Salário administrativo,01/01/2024
Despesa,Pago,01/01/2024,3146.07,Salário Oficina,Pessoal,2.2.3.1,Funcionário Oficina,12345678923,Mecânico A,PIX,Salário oficina,01/01/2024
Despesa,Pago,01/01/2024,7261.40,Comissão de Vendas,Comercial,2.2.3.6,Vendedor,12345678924,Vendedor A,PIX,Comissão vendas,01/01/2024
Despesa,Pago,01/01/2024,4500.00,Pró-Labore,Administrativo,2.2.3.9,Sócio,12345678925,Sócio Administrador,PIX,Pró-labore,01/01/2024
Despesa,Pago,01/01/2024,3258.20,Vale alimentação,Pessoal,2.2.4.1,Benefícios SA,12345678926,Benefícios SA,Débito,Vale alimentação,01/01/2024
Despesa,Pago,01/01/2024,3288.00,Vale Transporte,Pessoal,2.2.4.2,Transporte,12345678927,VT SA,Débito,Vale transporte,01/01/2024
Despesa,Pago,01/01/2024,55.08,Confraternização,Administrativo,2.2.5.03,Restaurante,12345678928,Restaurante ABC,Cartão,Eventos,01/01/2024
Despesa,Pago,01/01/2024,30.00,Combustível adm,Administrativo,2.2.5.04,Posto ADM,12345678929,Posto ADM,Cartão,Combustível admin,01/01/2024
Despesa,Pago,01/01/2024,86.42,Correios / Uber,Administrativo,2.2.5.05,Correios,12345678930,Correios,Dinheiro,Correios e taxi,01/01/2024
Despesa,Pago,01/01/2024,1533.90,Serviços de Terceiros,Administrativo,2.2.5.08,Terceirizado,12345678931,Terceirizado Ltda,Transferência,Serviços terceiros,01/01/2024
Despesa,Pago,01/01/2024,480.17,Material de escritório,Administrativo,2.2.5.13,Papelaria,12345678932,Papelaria XYZ,Cartão,Material escritório,01/01/2024
Despesa,Pago,01/01/2024,419.41,Limpeza e Higienização,Administrativo,2.2.5.14,Limpeza,12345678933,Limpeza SA,Débito,Limpeza,01/01/2024
Despesa,Pago,01/01/2024,2027.24,Marketing e Publicidades,Marketing,2.2.5.20,Agência,12345678934,Agência Digital,Cartão,Marketing,01/01/2024
Despesa,Pago,01/01/2024,28326.85,IPVA/ Licenciamento,Operacional,2.2.5.21,DETRAN,12345678935,DETRAN,Boleto,IPVA licenciamento,01/01/2024
Despesa,Pago,01/01/2024,2780.00,Campanha Indique e Ganhe,Marketing,2.2.5.24,Marketing,12345678936,Campanha SA,PIX,Campanha marketing,01/01/2024
Despesa,Pago,01/01/2024,150.00,IPTU,Administrativo,2.2.6.21,Prefeitura,12345678937,Prefeitura,Boleto,IPTU,01/01/2024
Despesa,Pago,01/01/2024,858.84,Mensalidade de sistema,Administrativo,2.2.6.6,Software SA,12345678938,Software SA,Débito,Sistema TI,01/01/2024
Despesa,Pago,01/01/2024,250.00,Honorários Contábeis,Administrativo,2.2.6.7,Contador,12345678939,Contador Ltda,Transferência,Contabilidade,01/01/2024
Despesa,Pago,01/01/2024,773.93,Tarifa e Taxas Bancária,Financeiro,2.3.1.1,Banco,12345678940,Banco SA,Débito,Tarifas bancárias,01/01/2024
Despesa,Pago,01/01/2024,217.25,Juros de Mora,Financeiro,2.3.1.4,Banco,12345678941,Banco SA,Débito,Juros mora,01/01/2024
Despesa,Pago,01/01/2024,4.09,IOF,Financeiro,2.3.1.5,Banco,12345678942,Banco SA,Débito,IOF,01/01/2024
Despesa,Pago,01/01/2024,135000.00,Empréstimo Mútuo,Financeiro,2.3.1.7,Sócio,12345678943,Sócio Principal,Transferência,Pagamento empréstimo,01/01/2024
Despesa,Pago,01/01/2024,5973.80,Consórcios,Financeiro,2.3.1.8,Consórcio,12345678944,Consórcio ABC,Débito,Parcela consórcio,01/01/2024
Despesa,Pago,01/01/2024,28548.82,Reembolso e Estornos,Outros,2.3.1.9,Diversos,12345678945,Diversos,PIX,Reembolsos,01/01/2024
Despesa,Pago,01/01/2024,6130.57,Construção / Reformas,Administrativo,2.3.2.6,Construção,12345678946,Construção Ltda,Transferência,Reformas,01/01/2024
